transect_type,transect,gps_points,gps_meters
Adjacent,BT23,2,"0, 70"
Adjacent,BT23_S,3,"0, 50, 100"
Adjacent,BT24,2,"0, 70"
Adjacent,BT24_N,3,"0, 50, 100"
Adjacent,ACER_NS,3,"0, 50, 100"
Adjacent,ACER_WE,2,"0, 50"
Permanent,ST1,4,"0, 50, 100, 150"
Permanent,ST2,2,"0, 50"
Permanent,ST4,2,"0, 50"
Permanent,ST5,2,"0, 50"
Permanent,ST22,2,"0, 50"
Permanent,ST28,2,"0, 50"
Permanent,ST31,2,"0, 50"
Permanent,ST34,2,"0, 50"
Permanent,ST35,2,"0, 50"
Permanent,ST36,2,"0, 50"
Permanent,ST38,4,"0, 50, 100, 150"
Permanent,ST40,2,"0, 50"
Permanent,ST45,2,"0, 50"
