survey_n,survey,n_meter_rows,n_rep_1_present,n_rep_2_present,n_rep_3_present,min_reps_per_meter,max_reps_per_meter,rows_with_0_reps,rows_with_1_rep,rows_with_2_reps,rows_with_3_reps
0,Baseline,1359,1359,1359,1359,3,3,0,0,0,1359
1,Con1,663,663,663,663,3,3,0,0,0,663
2,Con2,663,663,663,663,3,3,0,0,0,663
3,Con3,663,663,663,663,3,3,0,0,0,663
4,Con4,663,663,663,663,3,3,0,0,0,663
5,Con5,408,408,408,408,3,3,0,0,0,408
6,Con6,663,663,663,663,3,3,0,0,0,663
7,Con7,663,663,663,663,3,3,0,0,0,663
8,Con8,663,663,663,663,3,3,0,0,0,663
9,Con9,612,612,612,612,3,3,0,0,0,612
10,Con10,663,663,663,663,3,3,0,0,0,663
11,Con11,663,663,663,663,3,3,0,0,0,663
12,Con12,663,663,663,663,3,3,0,0,0,663
20,Con20,663,663,663,663,3,3,0,0,0,663
22,Con22,663,663,663,663,3,3,0,0,0,663
24,Con24,612,612,612,612,3,3,0,0,0,612
25,Con25,663,663,663,663,3,3,0,0,0,663
